  118.8053  -16.0583
  118.8079  -15.9765
  118.8105  -15.8947
  118.8131  -15.8129
  118.8167  -15.7311
  118.8202  -15.6493
  118.8248  -15.5676
  118.8293  -15.4859
  118.8339  -15.4042
  118.8395  -15.3225
  118.8450  -15.2408
  118.8506  -15.1592
  118.8572  -15.0776
  118.8638  -14.9960
  118.8715  -14.9145
  118.8792  -14.8330
  118.8868  -14.7515
  118.8955  -14.6701
  118.9043  -14.5887
  118.9130  -14.5073
  118.9228  -14.4260
  118.9326  -14.3447
  118.9434  -14.2635
  118.9543  -14.1824
  118.9651  -14.1012
  118.9771  -14.0202
  118.9890  -13.9392
  119.0009  -13.8581
  119.0138  -13.7773
  119.0268  -13.6964
  119.0397  -13.6155
  119.0509  -13.5344
  119.0621  -13.4533
  119.0742  -13.3723
  119.0864  -13.2913
  119.0985  -13.2104
  119.1116  -13.1295
  119.1247  -13.0487
  119.1378  -12.9678
  119.1518  -12.8871
  119.1658  -12.8064
  119.1808  -12.7259
  119.1957  -12.6454
  119.2106  -12.5648
  119.2263  -12.4844
  119.2421  -12.4041
  119.2579  -12.3237
  119.2745  -12.2435
  119.2877  -12.1627
  119.3017  -12.0820
  119.3157  -12.0013
  119.3297  -11.9206
  119.3444  -11.8400
  119.3590  -11.7594
  119.3737  -11.6789
  119.3891  -11.5984
  119.4045  -11.5180
  119.4205  -11.4377
  119.4365  -11.3573
  119.4526  -11.2770
  119.4692  -11.1968
  119.4859  -11.1167
  119.5026  -11.0365
  119.5155  -10.9556
  119.5283  -10.8747
  119.5412  -10.7939
  119.5546  -10.7131
  119.5680  -10.6323
  119.5819  -10.5516
  119.5958  -10.4710
  119.6097  -10.3903
  119.6241  -10.3097
  119.6385  -10.2291
  119.6529  -10.1484
  119.6678  -10.0679
  119.6827   -9.9874
  119.6980   -9.9070
  119.7133   -9.8265
  119.7286   -9.7461
  119.7387   -9.6649
  119.7489   -9.5836
  119.7590   -9.5024
  119.7695   -9.4212
  119.7799   -9.3400
  119.7905   -9.2588
  119.8010   -9.1777
  119.8116   -9.0965
  119.8224   -9.0153
  119.8330   -8.9342
  119.8438   -8.8530
  119.8550   -8.7720
  119.8665   -8.6909
  119.8761   -8.6096
  119.8859   -8.5283
  119.8960   -8.4471
  119.9065   -8.3659
  119.9174   -8.2848
  119.9262   -8.2034
  119.9354   -8.1221
  119.9451   -8.0408
  119.9555   -7.9596
  119.9635   -7.8782
  119.9720   -7.7968
  119.9814   -7.7155
  119.9916   -7.6342
  120.0030   -7.5532
  119.9919   -7.4721
  120.0070   -7.3916
  119.9931   -7.3109
  120.0133   -7.2316
  119.9920   -7.1525
  120.0000   -7.0000
>
  125.0000  -35.0000
  124.9874  -34.9188
